System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
GJ 86,K1.5V,1989ApJS...71..245K,Gaia DR3 4937000898856156288,32.62294595,0.035921752,-50.82090584,0.04082425,92.92514044,0.04607932,10.7084,10.7397,10.6803,2125.416147,0.047867194,637.9750431,0.061558302,2219.1003,55.2173,0.1546862
Gl 49,M1.5V,2015A&A...577A.128A,Gaia DR3 522863309964987520,15.66895082,0.011228092,62.34545122,0.011862292,101.4237953,0.016878147,9.8438,9.8498,9.8136,731.0879948,0.013724243,90.53173556,0.016883908,736.672,-6.2840915,0.1332864
HAT-P-1,G0V,2011A&A...529A.136E,Gaia DR3 1928431764627661440,344.4453689,0.008808271,38.6749131,0.010212938,6.243808085,0.014619979,158.7827,159.429,154.5959,32.42153558,0.013767028,-41.94931072,0.012933271,53.01793,-2.6439135,0.22692169
HAT-P-14,F5V,2011AJ....141..161S,Gaia DR3 1340497608486742400,260.1161723,0.008782928,38.24216726,0.009807851,4.44725723,0.010584738,224.1573,224.7708,223.606,2.35030127,0.01191638,-6.679148667,0.013279681,7.080603,-19.41046,0.22034723
HAT-P-16,F8,2011A&A...529A.136E,Gaia DR3 381592313648387200,9.573030268,0.011483975,42.4630954,0.010371358,4.495829047,0.01545844,220.6654,221.4393,219.9209,-21.53530531,0.011542264,-4.581762773,0.011774988,22.01731,-16.666695,0.42024994
HAT-P-22,G5,2011A&A...529A.136E,Gaia DR3 846946629987527168,155.6814537,0.008601171,50.12872315,0.01117382,12.27305538,0.015540047,81.1877,81.2848,81.0806,-26.11021211,0.013991112,83.80629414,0.015811026,87.77949,12.856509,0.14769213
HAT-P-24,F8,2011A&A...529A.136E,Gaia DR3 3167323052618369408,108.8251183,0.012300735,14.26260625,0.011267848,2.420231941,0.014783522,401.4178,403.9415,399.242,8.193456696,0.015101619,-1.59520415,0.012258892,8.3473,-0.9951621,0.7045571
HAT-P-27,G8,,Gaia DR3 1159336403336463872,222.7673182,0.01475108,5.94736226,0.01385416,4.952759651,0.016895672,197.6604,198.5756,195.9388,-28.60993965,0.019363329,-2.774496311,0.019091632,28.744156,-16.741198,0.558079
HAT-P-29,,,Gaia DR3 359058441314838528,33.1310898,0.013686465,51.77877566,0.013999097,3.135845633,0.020119427,--,--,--,-9.972381185,0.024160529,1.789928342,0.017248591,10.131743,-21.914396,0.6858706
HAT-P-3,K1V,2018MNRAS.481.3244G,Gaia DR3 1510191594552968832,206.0940102,0.01036626,48.02856171,0.012580223,7.415920231,0.014328971,133.1345,133.4862,131.5636,-19.6190945,0.011927814,-23.97268944,0.015431108,30.97739,-23.306894,0.31029972
HAT-P-30,G0,,Gaia DR3 3096441729861716224,123.9498407,0.012865525,5.836870229,0.009947953,4.803689565,0.014766899,206.4299,207.0708,205.7566,-17.23149622,0.013377172,23.87539405,0.01055988,29.444166,45.136883,0.36763796
HAT-P-32,,,Gaia DR3 356348286886230272,31.0427594,0.016422974,46.68785165,0.01472625,3.493757311,0.020485217,283.3834,285.1272,281.6643,-9.763388779,0.017625218,3.351075985,0.021392863,10.3224745,-22.523651,1.5963125
HAT-P-33,,,Gaia DR3 893550942158776832,113.1842383,0.018280735,33.8350211,0.01682714,2.518616699,0.019531319,387.9433,390.6442,384.9883,-0.125240073,0.024453402,-2.444298592,0.02311441,2.447505,22.2108,0.6605851
HAT-P-35,,,Gaia DR3 3094733088793018240,123.2507017,0.017703798,4.787027836,0.013464144,1.901864791,0.021286793,499.6187,506.1833,489.9762,-9.415441533,0.020819616,-7.253642376,0.015557875,11.885531,40.663742,1.1769578
HAT-P-39,,,Gaia DR3 3169391577586325120,113.7582528,0.012798736,17.83002713,0.011276986,1.415197155,0.014015782,--,--,--,1.141321476,0.016716972,-8.584019492,0.015817307,8.659561,29.15279,3.376495
HAT-P-4,F,2011A&A...529A.136E,Gaia DR3 1291120362349158016,229.9912163,0.009744847,36.22954167,0.013425917,3.107097977,0.015360015,314.5281,317.3546,297.1596,-21.51330483,0.012793139,-24.2549979,0.018960478,32.421093,-1.1309037,0.36955643
HAT-P-41,,,Gaia DR3 4290415081653653632,297.3226519,0.015481577,4.672411376,0.012521415,2.84769065,0.01759626,348.1303,352.0814,342.2152,-3.177236871,0.018924505,-6.569841792,0.015301142,7.2977843,32.53817,0.4711851
HAT-P-57,,,Gaia DR3 4483640815570090368,274.7434174,0.018658642,10.5971948,0.01967393,3.432357996,0.019623086,292.973,297.7037,279.9677,-4.465676999,0.02456937,-14.26758934,0.024576232,14.9501295,-7.8001404,4.0891476
